Price;Generation;Body;Engine;Transmission;Drive;Steering Wheel;Color;Customs
₸8 200 000,00;2006 - 2009 1 поколение рестайлинг (S50);Кроссовер;3.5 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸15 500 000,00;2009 - 2013 F10/F11/F07;Седан;4.4 (бензин);Автомат;Полный привод;Слева;;Да
₸6 100 000,00;2006 - 2009 XV40;Седан;2.4 (бензин);Автомат;Передний привод;Слева;;Да
₸13 600 000,00;2020 - н.в. 1 поколение;Кроссовер;1.4 (бензин);Робот;Полный привод;Слева;белый металлик;Да
₸2 900 000,00;1998 - 2003 A33;Седан;2.5 (бензин);Автомат;Передний привод;Справа;;Да
₸5 900 000,00;2010 - 2017 4 поколение (RB/RC);Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;серебристый;Да
₸9 000 000,00;2014 - 2018 W205/S205/C205;Седан;2 (бензин);Автомат;Задний привод;Слева;серый;Да
₸3 300 000,00;2000 - 2008 E120 (E12/ZER/ZZE12/R1);Седан;1.6 (бензин);Механика;Передний привод;Слева;серый металлик;Да
₸8 200 000,00;2018 - 2021 5 поколение (SK);Кроссовер;2.5 (бензин);Вариатор;Полный привод;Слева;зеленый;Да
₸7 550 000,00;2003 - 2006 2 поколение (U3);Кроссовер;3 (бензин);Автомат;Полный привод;Слева;голубой металлик;Да
₸2 100 000,00;1993 - 1997 W124 [2-й рестайлинг];Седан;2.8 (бензин);Автомат;Задний привод;Слева;;Да
₸3 850 000,00;2012 - 2018 G15;Седан;1.6 (бензин);Механика;Передний привод;Слева;серебристый металлик;Да
₸6 100 000,00;2013 - 2017 3 поколение;Кроссовер;1.8 (бензин);Автомат;Полный привод;Слева;серебристый;Да
₸2 200 000,00;2001 - 2014 1 поколение;Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;;Да
₸4 000 000,00;2002 - 2006 W211/S211;Седан;2.1 (дизель);Автомат;Задний привод;Слева;;Да
₸5 000 000,00;2002 - 2006 W211/S211;Седан;3.2 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
₸24 888 000,00;2013 - 2017 W222/C217/A217;Седан;3.5 (гибрид);Автомат;Задний привод;Слева;черный;Да
₸15 300 000,00;2009 - 2013 J150;Внедорожник;4 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸7 200 000,00;2015 - 2020 5 поколение рестайлинг;Седан;1.6 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸1 750 000,00;2001 - 2014 1 поколение;Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;синий металлик;Да
₸6 700 000,00;1994 - н.в. 1 поколение;Пикап;2.9 (газ-бензин);Механика;Задний привод;Слева;;Да
₸6 200 000,00;2008 - 2014 J32;Седан;2.5 (бензин);Вариатор;Передний привод;Слева;черный металлик;Да
₸5 800 000,00;2010 - 2013 1 поколение рестайлинг (J10, NJ10, JJ10E) (J10/NJ10/JJ10E);Кроссовер;1.6 (бензин);Вариатор;Передний привод;Слева;черный металлик;Да
₸14 500 000,00;2015 - 2019 4 поколение рестайлинг (A4);Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;белый;Да
₸13 900 000,00;2023 - н.в. 8 поколение рестайлинг;Седан;2.5 (бензин);Автомат;Передний привод;Слева;;Да
₸280 000,00;1970 - 1988 1 поколение;Седан;1.2 (бензин);Механика;Задний привод;Слева;;Да
₸5 000 000,00;2010 - 2017 4 поколение (RB/RC);Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;золотистый;Да
₸3 000 000,00;2020 - н.в. 1 поколение;Лифтбек;1.5 (бензин);Механика;Передний привод;Слева;;Нет
₸35 500 000,00;2022 - н.в. 5 поколение;Кроссовер;2.4 (бензин);Автомат;Полный привод;Слева;черный;Да
₸850 000,00;1988 - 1993 B3;Седан;1.8 (бензин);Механика;Передний привод;Слева;;Да
₸26 000 000,00;2013 - н.в. 2 поколение рестайлинг (URJ15/GRJ15);Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;черный;Да
₸10 500 000,00;2020 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Робот;Передний привод;Слева;голубой металлик;Да
₸37 500 000,00;2020 - н.в. J150 [3-й рестайлинг];Внедорожник;4 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸28 500 000,00;2021 - н.в. 1 поколение;Внедорожник;2 (бензин);Автомат;Полный привод;Слева;;Да
₸1 100 000,00;1988 - 1993 B3;Седан;1.8 (бензин);Механика;Передний привод;Слева;белый;Да
₸1 300 000,00;1990 - 2000 E36;Седан;2 (бензин);Механика;Задний привод;Слева;черный металлик;Да
₸13 550 000,00;2019 - н.в. 5 поколение (A5/H5);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;черный металлик;Да
₸14 350 000,00;2017 - 2021 XV70;Седан;2.5 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸18 800 000,00;2007 - 2012 J200;Внедорожник;4.7 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸25 900 000,00;2012 - 2015 3 поколение рестайлинг (J2);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸7 500 000,00;2002 - 2007 955 (9PA);Кроссовер;3.2 (бензин);Автомат;Полный привод;Слева;вишня металлик;Да
₸3 700 000,00;1994 - 1996 W140/C140 рестайлинг;Седан;3.2 (бензин);Автомат;Задний привод;Слева;синий металлик;Да
₸10 490 000,00;2017 - н.в. 1 поколение (2R/2C);Кроссовер;1.2 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸550 000,00;1990 - 1999 1 поколение (R1/R2);Минивэн;2.2 (дизель);Автомат;Полный привод;Справа;зеленый;Нет
₸9 990 000,00;2019 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;серебристый металлик;Да
₸6 990 000,00;2023 - н.в. 2 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;белый металлик;Да
₸8 090 000,00;2021 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;белый металлик;Да
₸12 590 000,00;2021 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Робот;Передний привод;Слева;белый;Да
₸11 890 000,00;2022 - н.в. 1 поколение;Седан;1.6 (бензин);Робот;Передний привод;Слева;серый металлик;Да
₸9 490 000,00;2021 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;белый металлик;Да
₸11 790 000,00;2022 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Автомат;Полный привод;Слева;серый металлик;Да
₸4 800 000,00;2013 - 2018 2 поколение (B8);Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;синий металлик;Да
₸5 490 000,00;2010 - 2017 4 поколение (RB/RC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸5 000 000,00;1996 - 2008 1 поколение;Внедорожник;3 (бензин);Автомат;Полный привод;Слева;золотистый металлик;Да
₸8 490 000,00;2019 - н.в. 2 поколение;Седан;1 (бензин);Автомат;Передний привод;Слева;;Да
₸8 990 000,00;2019 - н.в. 4 поколение;Кроссовер;1 (бензин);Автомат;Передний привод;Слева;;Да
₸7 690 000,00;2020 - н.в. 2 поколение рестайлинг;Седан;1.5 (бензин);Автомат;Передний привод;Слева;;Да
₸14 500 000,00;2018 - н.в. 9 поколение рестайлинг;Седан;2 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸17 990 000,00;2021 - н.в. 1 поколение рестайлинг (NS7);Внедорожник;2 (бензин);Робот;Полный привод;Слева;серый металлик;Да
₸11 200 000,00;2014 - 2022 4 поколение [2-й рестайлинг] (V8xW/V9xW);Внедорожник;3 (бензин);Автомат;Полный привод;Слева;белый;Да
₸3 650 000,00;1995 - 1999 W210/S210;Седан;2.8 (бензин);Автомат;Полный привод;Слева;синий металлик;Да
₸7 450 000,00;2014 - н.в. 5 поколение (D10);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸49 800 000,00;2022 - н.в. 5 поколение;Кроссовер;2.4 (гибрид);Автомат;Полный привод;Слева;;Да
₸25 700 000,00;2018 - н.в. 7 поколение (Z10/A10/H10);Седан;2.5 (бензин);Автомат;Передний привод;Слева;;Да
₸23 500 000,00;2019 - н.в. 4 поколение (GSU7/AXUH7);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;;Да
₸4 490 000,00;2015 - н.в. 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸30 500 000,00;2023 - н.в. J250;Внедорожник;2.7 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸2 500 000,00;1998 - 2003 E46;Седан;2.8 (бензин);Автомат;Задний привод;Слева;черный;Да
₸6 000 000,00;2006 - 2008 3 поколение;Минивэн;2.4 (бензин);Вариатор;Передний привод;Справа;черный металлик;Да
₸15 390 000,00;2022 - н.в. 1 поколение;Пикап;2 (бензин);Автомат;Полный привод;Слева;;Да
₸1 850 000,00;1987 - 1993 W124 рестайлинг;Универсал;3 (дизель);Автомат;Задний привод;Слева;серый;Да
₸6 800 000,00;2002 - 2005 3 поколение (L322);Внедорожник;4.4 (бензин);Автомат;Полный привод;Слева;белый;Да
₸6 000 000,00;2007 - 2010 E60/E61 рестайлинг;Седан;2 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
₸7 250 000,00;2022 - н.в. 2 поколение рестайлинг;Седан;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸3 500 000,00;2012 - 2018 2 поколение (L8);Седан;1.6 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸3 700 000,00;1999 - 2001 1 поколение рестайлинг (RD);Кроссовер;2 (бензин);Механика;Полный привод;Слева;черный металлик;Да
₸7 500 000,00;2005 - 2011 1 поколение (N5/N6);Внедорожник;4 (бензин);Автомат;Полный привод;Слева;черный;Да
₸87 253 806,00;2022 - н.в. 1 поколение;Внедорожник;3 (гибрид);Автомат;Полный привод;Слева;черный металлик;Да
₸1 500 000,00;1988 - 1993 B3;Универсал;1.8 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸15 950 000,00;2020 - н.в. 4 поколение рестайлинг;Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸11 800 000,00;2004 - 2009 5 поколение;Купе;4.6 (бензин);Автомат;Задний привод;Слева;;Да
₸2 500 000,00;2007 - 2015 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸2 600 000,00;1994 - 1999 1 поколение (RA1/RA2/RA3/RA4/RA5);Минивэн;2.3 (бензин);Автомат;Полный привод;Справа;серебристый металлик;Да
₸6 900 000,00;2003 - 2006 E53 рестайлинг;Кроссовер;3 (бензин);Автомат;Полный привод;Слева;серый;Да
₸3 000 000,00;1992 - 2003 T4;Минивэн;2.4 (дизель);Механика;Передний привод;Слева;зеленый металлик;Да
₸4 000 000,00;2002 - 2005 2 поколение (A8);Седан;3 (бензин);Вариатор;Передний привод;Слева;серебристый металлик;Да
₸7 700 000,00;2005 - 2009 2 поколение (CWxW);Кроссовер;3 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸1 200 000,00;2001 - 2014 1 поколение;Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸400 000,00;1990 - 1997 P10 (P10/W10);Седан;1.6 (бензин);Механика;Передний привод;Слева;серый;Да
₸2 700 000,00;1994 - 1998 E38;Седан;2.8 (бензин);Автомат;Задний привод;Слева;черный;Да
₸500 000,00;1991 - 2011 1 поколение рестайлинг;Хэтчбек;1.5 (бензин);Механика;Передний привод;Слева;серый;Да
₸5 500 000,00;1996 - 1999 W140 [2-й рестайлинг];Седан;5 (бензин);Автомат;Задний привод;Слева;серебристый металлик;Да
₸6 000 000,00;2011 - 2014 XV50;Седан;2.5 (бензин);Автомат;Передний привод;Слева;серебристый;Нет
₸2 000 000,00;1996 - 2001 B5;Седан;1.6 (бензин);Механика;Передний привод;Слева;серебристый;Да
₸9 200 000,00;2021 - н.в. 1 поколение;Кроссовер;1.4 (бензин);Автомат;Передний привод;Слева;голубой металлик;Да
₸16 300 000,00;2019 - н.в. 5 поколение (A5/H5);Кроссовер;2.5 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸1 100 000,00;1988 - 1993 B3;Универсал;1.8 (бензин);Механика;Передний привод;Слева;белый;Да
₸4 150 000,00;2018 - н.в. 1 поколение рестайлинг;Седан;1.6 (бензин);Автомат;Передний привод;Слева;белый;Да
₸7 990 000,00;2019 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Вариатор;Передний привод;Слева;красный;Да
₸650 000,00;1992 - 2009 1 поколение рестайлинг;Внедорожник;1.7 (бензин);Механика;Полный привод;Слева;;Да
₸6 500 000,00;2009 - 2011 XV40 рестайлинг (V45);Седан;2.5 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸4 300 000,00;2013 - 2018 2 поколение (B8);Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;серый металлик;Да
₸5 500 000,00;2008 - 2014 J32;Седан;3.5 (бензин);Вариатор;Передний привод;Слева;;Да
₸1 500 000,00;1982 - 1993 1 поколение (W201);Седан;2 (бензин);Механика;Задний привод;Слева;серебристый металлик;Да
₸3 500 000,00;2012 - 2015 J300 рестайлинг;Хэтчбек;1.8 (бензин);Автомат;Передний привод;Слева;белый;Да
₸540 000,00;1988 - 1996 1 поколение (464);Седан;1.7 (бензин);Механика;Передний привод;Слева;серебристый металлик;Да
₸8 000 000,00;2013 - 2019 2 поколение (J11/J11);Кроссовер;1.6 (бензин);Вариатор;Передний привод;Слева;фиолетовый;Да
₸4 900 000,00;2007 - 2011 X (CYxA/CZxA);Седан;2 (бензин);Вариатор;Передний привод;Слева;красный металлик;Да
₸2 100 000,00;1990 - 2000 E36;Универсал;2 (бензин);Механика;Задний привод;Слева;синий;Да
₸1 450 000,00;1991 - 2002 3 поколение;Хэтчбек;1.8 (бензин);Автомат;Передний привод;Слева;вишня металлик;Да
₸2 650 000,00;1987 - 1993 W124 рестайлинг;Седан;2.6 (бензин);Автомат;Задний привод;Слева;голубой металлик;Да
₸2 300 000,00;1995 - 2000 1 поколение;Минивэн;2 (бензин);Механика;Передний привод;Слева;бордовый металлик;Да
₸10 600 000,00;2021 - 2022 2 поколение (SU2);Кроссовер;1.6 (бензин);Автомат;Полный привод;Слева;серый металлик;Да
₸1 950 000,00;1981 - 1995 1 поколение (631);Микроавтобус;2.4 (дизель);Механика;Задний привод;Слева;белый;Да
₸11 200 000,00;2020 - н.в. 7 поколение (CN7);Седан;2 (бензин);Автомат;Передний привод;Слева;белый;Да
₸5 800 000,00;2004 - 2010 1 поколение (JM);Кроссовер;2.7 (бензин);Автомат;Полный привод;Слева;бирюзовый металлик;Да
₸6 990 000,00;2015 - н.в. 1 поколение рестайлинг (HM);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸7 000 000,00;2007 - 2010 957 рестайлинг (9PA);Кроссовер;4.8 (бензин);Автомат;Полный привод;Слева;черный;Да
₸6 500 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.4 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸5 500 000,00;2001 - 2004 XV30;Седан;3 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸7 300 000,00;2010 - 2014 3 поколение (SL);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;серый металлик;Да
₸7 800 000,00;2006 - 2009 4 поколение (F4);Седан;4.6 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
₸7 000 000,00;2006 - 2010 E70;Кроссовер;4.8 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸5 000 000,00;1996 - 2008 1 поколение;Внедорожник;3.5 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸12 000 000,00;2015 - 2019 4 поколение рестайлинг (A4);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;черный металлик;Да
₸3 500 000,00;2011 - 2018 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;черный металлик;Да
₸1 000 000,00;1987 - 1993 W124 рестайлинг;Седан;2.3 (бензин);Механика;Задний привод;Слева;;Да
₸1 500 000,00;1995 - 2012 1 поколение;Седан;1.5 (бензин);Механика;Передний привод;Слева;серебристый;Да
₸4 600 000,00;2015 - н.в. 1 поколение;Седан;1.5 (бензин);Автомат;Передний привод;Слева;белый;Да
₸7 900 000,00;2016 - н.в. 1 поколение (H5);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;бежевый;Да
₸5 500 000,00;2008 - 2013 2 поколение;Седан;2 (бензин);Автомат;Передний привод;Слева;синий;Да
₸22 790 000,00;2023 - н.в. XV80;Седан;2.5 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸7 300 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.4 (бензин);Автомат;Передний привод;Слева;белый;Да
₸3 100 000,00;1997 - 2001 C5;Седан;2.8 (бензин);Автомат;Передний привод;Слева;синий;Да
₸2 500 000,00;1999 - 2005 4 поколение;Седан;2 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸1 800 000,00;1995 - 1999 W210/S210;Седан;2.3 (бензин);Механика;Задний привод;Слева;зеленый металлик;Да
₸7 850 000,00;2014 - 2016 3 поколение рестайлинг (QL/QLE);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;коричневый;Да
₸3 100 000,00;2013 - 2018 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸14 099 999,00;2020 - н.в. 3 поколение;Седан;1.6 (бензин);Автомат;Передний привод;Слева;синий металлик;Да
₸7 300 000,00;2004 - 2008 C219;Седан;5 (бензин);Автомат;Задний привод;Слева;серебристый;Да
₸3 470 000,00;1996 - 2003 W638;Минивэн;2.3 (бензин);Механика;Передний привод;Слева;серебристый металлик;Да
₸1 000 000,00;1988 - 1993 B3;Универсал;1.8 (бензин);Механика;Передний привод;Слева;черный;Да
₸8 100 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;;Да
₸8 200 000,00;2013 - 2016 C117;Седан;1.6 (бензин);Робот;Передний привод;Слева;белый;Да
₸1 500 000,00;1999 - 2002 B рестайлинг (J96);Седан;1.8 (бензин);Автомат;Передний привод;Слева;серый;Да
₸7 500 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.4 (бензин);Автомат;Передний привод;Слева;белый;Да
₸8 000 000,00;2010 - 2013 1 поколение (ZWA10);Хэтчбек;1.8 (гибрид);Вариатор;Передний привод;Слева;;Да
₸4 450 000,00;2011 - 2015 2 поколение (TA);Хэтчбек;1.2 (бензин);Автомат;Передний привод;Слева;зеленый;Да
₸2 333 333,00;2013 - 2018 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;черный металлик;Да
₸9 000 000,00;1998 - 2002 2 поколение (UZJ100);Внедорожник;4.7 (бензин);Автомат;Полный привод;Слева;золотистый металлик;Да
₸37 990 000,00;2017 - н.в. Z62 [2-й рестайлинг];Внедорожник;5.6 (бензин);Автомат;Полный привод;Слева;синий;Да
₸10 690 000,00;2013 - 2016 XE30;Седан;2.5 (бензин);Автомат;Задний привод;Слева;черный;Да
₸2 500 000,00;1998 - 2004 G (T98);Хэтчбек;1.8 (бензин);Автомат;Передний привод;Слева;зеленый металлик;Да
₸14 000 000,00;2009 - 2013 F10/F11/F07;Седан;3 (бензин);Автомат;Задний привод;Слева;белый металлик;Да
₸1 800 000,00;1993 - 1997 W202/S202;Седан;2.2 (бензин);Автомат;Задний привод;Слева;серебристый;Да
₸1 800 000,00;1991 - 2002 3 поколение;Универсал;1.8 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸14 290 000,00;2023 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Робот;Передний привод;Слева;серый;Да
₸10 990 000,00;2023 - н.в. 1 поколение;Кроссовер;1.6 (бензин);Робот;Передний привод;Слева;серый;Да
₸14 741 500,00;2019 - н.в. 1 поколение [3-й рестайлинг] (GAxW);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;;Да
₸13 490 000,00;2018 - н.в. 5 поколение рестайлинг (KJ/KK/KL);Пикап;2.4 (дизель);Механика;Полный привод;Слева;;Да
₸12 490 000,00;2018 - н.в. 5 поколение рестайлинг (KJ/KK/KL);Пикап;2.4 (дизель);Механика;Полный привод;Слева;;Да
₸2 220 000,00;1995 - 2000 E39;Седан;2.5 (бензин);Механика;Задний привод;Слева;черный металлик;Да
₸4 980 000,00;2013 - н.в. 2 поколение рестайлинг (QJ);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;черный;Да
₸5 900 000,00;2015 - н.в. 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸6 200 000,00;1994 - н.в. 1 поколение;Пикап;2.9 (газ-бензин);Механика;Задний привод;Слева;белый;Да
₸5 290 000,00;2010 - 2017 4 поколение (RB/RC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;белый;Да
₸3 150 000,00;1995 - 1999 W210/S210;Седан;2.4 (бензин);Автомат;Задний привод;Слева;золотистый;Да
₸5 200 000,00;1994 - н.в. 1 поколение;Пикап;2.9 (газ-бензин);Механика;Задний привод;Слева;белый;Да
₸600 000,00;1994 - 1999 B (J96);Седан;1.6 (бензин);Механика;Передний привод;Слева;синий;Да
₸30 490 000,00;2023 - н.в. J250;Внедорожник;2.7 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸4 970 000,00;2008 - 2013 E11 рестайлинг (E11/NE11);Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸46 000 000,00;2015 - 2021 J200 [2-й рестайлинг];Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;черный;Да
₸7 800 000,00;2017 - 2021 1 поколение;Хэтчбек;1.6 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸7 300 000,00;2008 - 2012 3 поколение рестайлинг;Минивэн;2.4 (бензин);Вариатор;Полный привод;Справа;серебристый металлик;Да
₸13 000 000,00;2019 - н.в. 8 поколение (DN8);Седан;2.5 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸10 790 000,00;2021 - н.в. 4 поколение рестайлинг (BD);Седан;2 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸7 100 000,00;2010 - 2012 3 поколение [2-й рестайлинг] (A3);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;серый металлик;Да
₸4 790 000,00;2020 - н.в. 2 поколение рестайлинг;Седан;1.5 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸8 700 000,00;2011 - 2015 W204/S204/C204 рестайлинг;Седан;1.6 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
₸26 500 000,00;2010 - 2014 C218/X218;Седан;5.5 (бензин);Робот;Задний привод;Слева;белый;Да
₸7 590 000,00;2009 - 2014 2 поколение (XM);Кроссовер;2.4 (бензин);Автомат;Полный привод;Слева;коричневый металлик;Да
₸9 200 000,00;1998 - 2002 2 поколение (UZJ100);Внедорожник;4.7 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸3 800 000,00;1994 - н.в. 1 поколение;Фургон;2.9 (газ-бензин);Механика;Задний привод;Слева;белый;Да
₸7 500 000,00;2002 - 2006 W211/S211;Седан;5 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
₸2 700 000,00;1997 - 2002 C35;Седан;2 (газ-бензин);Автомат;Задний привод;Справа;белый металлик;Да
₸22 900 000,00;2013 - 2022 2 поколение [2-й рестайлинг] (K5/K6);Пикап;5.7 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸3 590 000,00;2003 - 2006 A рестайлинг (T98);Минивэн;1.8 (бензин);Механика;Передний привод;Слева;;Да
₸5 000 000,00;2010 - 2014 YF15;Кроссовер;1.6 (бензин);Вариатор;Передний привод;Слева;черный;Да
₸10 300 000,00;2019 - н.в. 8 поколение (DN8);Седан;2 (бензин);Автомат;Передний привод;Слева;белый;Да
₸5 900 000,00;2017 - н.в. 5 поколение (HC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸31 500 000,00;2012 - 2015 3 поколение рестайлинг (J2);Внедорожник;5.7 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸13 000 000,00;2012 - 2015 F01/F02 рестайлинг;Седан;4.4 (бензин);Автомат;Полный привод;Слева;;Да
₸10 800 000,00;2019 - н.в. 1 поколение;Пикап;2 (бензин);Механика;Задний привод;Слева;;Да
₸3 800 000,00;2013 - 2018 1 поколение рестайлинг;Седан;1.6 (бензин);Робот;Передний привод;Слева;серебристый;Да
₸18 890 000,00;2020 - н.в. 1 поколение;Кроссовер;2 (бензин);Автомат;Полный привод;Слева;;Да
₸16 190 000,00;2020 - н.в. 1 поколение;Кроссовер;2 (бензин);Автомат;Передний привод;Слева;;Да
₸10 190 000,00;2021 - н.в. 1 поколение;Кроссовер;1.4 (бензин);Робот;Передний привод;Слева;;Да
₸11 490 000,00;2021 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸11 490 000,00;2021 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸22 340 000,00;2023 - н.в. 6 поколение (SL);Кроссовер;2.5 (бензин);Вариатор;Полный привод;Слева;;Да
₸22 890 000,00;2019 - н.в. 6 поколение;Универсал;2.5 (бензин);Вариатор;Полный привод;Слева;;Да
₸12 190 000,00;2022 - н.в. 1 поколение;Лифтбек;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸6 640 000,00;2012 - 2017 1 поколение;Седан;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸6 640 000,00;2012 - 2017 1 поколение;Седан;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸10 190 000,00;2018 - н.в. 1 поколение;Кроссовер;1.4 (бензин);Робот;Передний привод;Слева;;Да
₸12 190 000,00;2022 - н.в. 1 поколение;Лифтбек;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸15 428 700,00;2023 - н.в. 8 поколение рестайлинг;Седан;2.5 (бензин);Автомат;Передний привод;Слева;;Да
₸15 490 000,00;2021 - н.в. 1 поколение;Минивэн;1.5 (бензин);Автомат;Передний привод;Слева;серый;Да
₸23 223 200,00;2021 - н.в. 1 поколение;Минивэн;3.5 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸11 987 700,00;2023 - н.в. 7 поколение рестайлинг;Седан;2 (бензин);Вариатор;Передний привод;Слева;;Да
₸12 190 000,00;2022 - н.в. 1 поколение;Лифтбек;1.5 (бензин);Робот;Передний привод;Слева;;Да
₸19 350 000,00;2023 - н.в. 6 поколение (SL);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;;Да
₸17 838 800,00;2023 - н.в. 5 поколение;Внедорожник;2.5 (бензин);Робот;Передний привод;Слева;;Да
₸8 890 000,00;2021 - н.в. 1 поколение;Кроссовер;1.4 (бензин);Автомат;Передний привод;Слева;;Да
₸18 590 000,00;2020 - н.в. 4 поколение (NX4);Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;синий металлик;Да
₸30 990 000,00;2022 - н.в. 1 поколение рестайлинг;Кроссовер;3.5 (бензин);Автомат;Полный привод;Слева;белый металлик;Да
₸23 990 000,00;2014 - н.в. 1 поколение (GJ);Седан;2.4 (бензин);Вариатор;Полный привод;Слева;;Да
₸13 700 000,00;2019 - н.в. 5 поколение (A5/H5);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;;Да
₸5 750 000,00;2006 - 2009 W211/S211 рестайлинг;Седан;1.8 (бензин);Автомат;Задний привод;Слева;черный металлик;Да
