Price;Generation;Body;Engine;Transmission;Drive;Steering Wheel;Color;Customs
₸9 000 000,00;1990 - 2006 W463;Внедорожник;5 (бензин);Автомат;Полный привод;Слева;черный;Да
₸70 000 000,00;2021 - н.в. 4 поколение;Внедорожник;3.5 (бензин);Автомат;Полный привод;Слева;черный;Да
₸16 800 000,00;2008 - 2019 4 поколение;Пикап;5.7 (бензин);Автомат;Полный привод;Слева;серебристый металлик;Да
₸11 000 000,00;2019 - 2021 1 поколение рестайлинг (GS/GC);Кроссовер;2 (бензин);Автомат;Полный привод;Слева;серый;Да
₸2 800 000,00;2007 - 2015 1 поколение;Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;черный;Да
₸30 000 000,00;2020 - н.в. G30 рестайлинг;Седан;2 (бензин);Автомат;Полный привод;Слева;;Да
₸1 800 000,00;2009 - н.в. 1 поколение [2-й рестайлинг];Внедорожник;1.7 (бензин);Механика;Полный привод;Слева;белый;Да
₸1 800 000,00;1994 - 1999 B (J96);Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;серый;Да
₸3 200 000,00;1994 - 1997 C4;Универсал;2.8 (бензин);Автомат;Передний привод;Слева;серый металлик;Да
₸22 000 000,00;2020 - н.в. 4 поколение (MQ4/MQ4A);Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;белый;Да
₸9 100 000,00;2020 - н.в. 7 поколение (CN7);Седан;1.6 (бензин);Автомат;Передний привод;Слева;серый;Да
₸1 200 000,00;1998 - 2012 1 поколение (2A/C);Хэтчбек;1.4 (бензин);Механика;Передний привод;Слева;зеленый;Да
₸8 250 000,00;2020 - н.в. 5 поколение рестайлинг (YC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;серебристый металлик;Да
₸5 500 000,00;2008 - 2012 3 поколение рестайлинг;Минивэн;2.4 (бензин);Вариатор;Полный привод;Справа;серебристый металлик;Нет
₸8 700 000,00;2021 - н.в. 1 поколение;Кроссовер;1.5 (бензин);Робот;Передний привод;Слева;белый;Да
₸1 400 000,00;2001 - 2014 1 поколение;Хэтчбек;1.5 (бензин);Механика;Передний привод;Слева;белый металлик;Да
₸14 500 000,00;2019 - н.в. 5 поколение (A5/H5);Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;синий;Да
₸7 800 000,00;2011 - 2015 W204/S204/C204 рестайлинг;Седан;1.8 (бензин);Автомат;Задний привод;Слева;белый;Да
₸25 500 000,00;2019 - н.в. 4 поколение (GSU7/AXUH7);Кроссовер;3.5 (бензин);Автомат;Передний привод;Слева;красный металлик;Да
₸7 900 000,00;2011 - 2014 XV50;Седан;2 (бензин);Автомат;Передний привод;Слева;черный;Да
₸3 600 000,00;2009 - н.в. M300;Хэтчбек;1 (бензин);Автомат;Передний привод;Слева;розовый;Да
₸7 600 000,00;2011 - 2014 XV50;Седан;2.5 (бензин);Автомат;Передний привод;Слева;белый;Да
₸6 300 000,00;2014 - н.в. 5 поколение (D10);Кроссовер;1.6 (бензин);Механика;Передний привод;Слева;белый;Да
₸4 500 000,00;2009 - 2015 5 поколение;Седан;1.6 (бензин);Автомат;Передний привод;Слева;черный металлик;Да
₸7 400 000,00;2017 - н.в. 5 поколение (HC);Седан;1.6 (бензин);Автомат;Передний привод;Слева;черный;Да
₸40 000 000,00;2015 - 2021 J200 [2-й рестайлинг];Внедорожник;4.6 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸1 750 000,00;1993 - 1997 W202/S202;Седан;1.8 (бензин);Механика;Задний привод;Слева;серебристый;Да
₸4 500 000,00;1994 - н.в. 1 поколение;Пикап;2.7 (бензин);Механика;Задний привод;Слева;белый;Да
₸9 800 000,00;2022 - н.в. 1 поколение рестайлинг (SP2);Кроссовер;1.5 (бензин);Автомат;Передний привод;Слева;белый;Да
₸13 500 000,00;2004 - 2010 3 поколение (WH/WK);Внедорожник;6.1 (бензин);Автомат;Полный привод;Слева;черный металлик;Да
₸9 600 000,00;2013 - 2019 T32;Кроссовер;2 (бензин);Вариатор;Полный привод;Слева;серый;Да
₸5 600 000,00;2007 - 2015 1 поколение рестайлинг;Внедорожник;2.3 (бензин);Автомат;Полный привод;Слева;белый;Да
₸8 500 000,00;1997 - 2007 4 поколение рестайлинг;Минивэн;3 (бензин);Автомат;Полный привод;Слева;белый;Да
₸9 000 000,00;2012 - 2015 1 поколение рестайлинг;Седан;2.4 (бензин);Автомат;Передний привод;Слева;черный;Да
₸25 500 000,00;2020 - н.в. J150 [3-й рестайлинг];Внедорожник;2.7 (бензин);Автомат;Полный привод;Слева;черный;Да
₸1 100 000,00;1994 - 1999 2 поколение (BD/BG);Седан;2 (бензин);Автомат;Полный привод;Слева;белый;Да
₸8 700 000,00;2011 - 2014 XV50;Седан;2.5 (бензин);Автомат;Передний привод;Слева;;Да
₸1 000 000,00;1991 - 2002 3 поколение;Хэтчбек;1.6 (бензин);Механика;Передний привод;Слева;синий;Да
₸2 200 000,00;1988 - 1996 E34;Седан;2.5 (бензин);Механика;Задний привод;Слева;синий;Да
₸2 200 000,00;1994 - 1998 E38;Седан;2.8 (бензин);Автомат;Задний привод;Слева;красный металлик;Да
₸3 150 000,00;2013 - 2018 1 поколение рестайлинг;Седан;1.6 (бензин);Механика;Передний привод;Слева;черный;Да
₸5 500 000,00;1997 - 2004 Y61;Внедорожник;4.3 (бензин);Автомат;Полный привод;Слева;;Да
₸6 050 000,00;2006 - 2009 XV40;Седан;2.4 (бензин);Автомат;Передний привод;Слева;золотистый металлик;Да
₸1 800 000,00;2011 - 2018 1 поколение;Седан;1.6 (бензин);Механика;Передний привод;Слева;синий;Да
₸15 000 000,00;2021 - н.в. 5 поколение;Кроссовер;2.5 (бензин);Автомат;Полный привод;Слева;белый;Да
₸7 500 000,00;2020 - н.в. 6 поколение;Лифтбек;1.6 (бензин);Автомат;Передний привод;Слева;вишня металлик;Да
₸2 800 000,00;1990 - 2003 T4;Минивэн;2.4 (дизель);Механика;Передний привод;Слева;вишня;Да
₸11 800 000,00;2019 - н.в. 1 поколение;Внедорожник;3.8 (бензин);Автомат;Передний привод;Слева;белый металлик;Да
₸2 150 000,00;2000 - 2005 B5 рестайлинг;Седан;1.8 (бензин);Механика;Передний привод;Слева;белый;Да
₸6 000 000,00;2002 - 2006 1 поколение;Кроссовер;3.2 (бензин);Автомат;Полный привод;Слева;белый;Да
₸3 000 000,00;1995 - 2002 3 поколение;Внедорожник;3 (дизель);Автомат;Полный привод;Справа;зеленый металлик;Да
